,id,author_id,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,interaction_score,action_count,tweetId,externality,action_count_per_1000_impressions,externality_scaled,interaction_score_scaled,action_count_scaled,externality_cpm,created_at_dt,days_old,months_old,impressions_per_month,ext_dollars_per_month,ext_per_month,action_per_month,v,e
count,11853.0,11853.0,11853.0,11853.0,11853.0,11853.0,11853.0,11853.0,11853.0,11853.0,11853.0,11853.0,11853.0,11853.0,11853.0,11853.0,11853.0,11853,11853.0,11853.0,11853.0,11853.0,11853.0,11853.0,11853.0,11853.0
mean,1.7869096193109187e+18,5.474903632742494e+17,8329.145195309204,5119.263477600607,54988.772884501814,2054.102421327934,3296.087994600523,13881551.760482578,0.007261222904243651,73787.37197334008,1.7869096193109187e+18,-2.078199451677192,7.2612234042433155,-0.13875251420860762,0.05789902486766056,0.013546172635874102,-0.7953089447388955,2024-05-05 00:03:46.576647424,272.5494811440142,9.084982704800472,3429005.070226438,-1835.4143399719765,-1199617.2156679586,20199.44091939311,20199.44091939311,-11996.172156679586
min,1.6035762511253627e+18,1605.0,1.0,0.0,0.0,0.0,0.0,529.0,4.5e-07,5.0,1.6035762511253627e+18,-3.998,0.0004504578363356,-1.0,0.0,0.0,-1.53,2022-12-16 02:22:25,14.0,0.4666666666666667,132.25,-96415.57222424928,-63016713.872058354,0.3105590062111801,0.3105590062111801,-630167.1387205835
25%,1.7377427667198487e+18,67743025.0,404.0,645.0,2332.0,414.0,157.0,1905037.0,0.001650212,5880.0,1.7377427667198487e+18,-2.9324577861163226,1.65021270246956,-0.5219839094672433,0.0131555706704301,0.0010786284326087,-1.1222262162976422,2023-12-21 07:52:15,115.0,3.8333333333333335,233594.24710424713,-1520.0917915911596,-993524.0467916076,661.5057915057915,661.5057915057915,-9935.240467916077
50%,1.8008832510802086e+18,1568300168.0,1886.0,1929.0,11290.0,957.0,601.0,5114366.0,0.004360297,20327.0,1.8008832510802086e+18,-1.8616001674663445,4.360297280837758,-0.0415832592493988,0.0347663937712001,0.003731044597017,-0.712418273192473,2024-06-12 13:30:00,234.0,7.8,762288.5230024213,-521.605463352659,-340918.6034984699,2839.0521327014217,2839.0521327014217,-3409.1860349846993
75%,1.8441191031346301e+18,1.2518918729869926e+18,7240.0,5331.0,50237.0,2185.0,2593.0,14763431.0,0.009392109,71399.0,1.8441191031346301e+18,-1.1924528748697547,9.392109485677354,0.2586049159630748,0.0748911865390771,0.0131076763093906,-0.4563413953353488,2024-10-09 20:53:50,408.0,13.6,2591064.7598253274,-178.71662312636386,-116808.25040938814,13304.48275862069,13304.48275862069,-1168.0825040938814
max,1.8806504898865403e+18,1.8609257034719027e+18,2789058.0,410128.0,2329178.0,221051.0,476861.0,634387512.0,0.125404512,5446737.0,1.8806504898865403e+18,0.4601855505998282,125.4045121755296,1.0,1.0,1.0,0.1761090276182434,2025-01-18 16:16:32,778.0,25.933333333333334,358436170.71428573,2774.8067361548137,1813599.1739573947,1611199.2857142857,1611199.2857142857,18135.991739573947
std,6.634302560384026e+16,6.670933238414941e+17,31828.32799992696,11598.235723123844,122459.89266084062,4803.41029066757,9563.612812845435,25395231.991416495,0.008994813438314042,159349.95356880594,6.634302560384026e+16,1.0780583870931102,8.994813437374026,0.4836310085604501,0.07172665139279175,0.029256066494332003,0.41256361487055,,183.07448247850184,6.102482749283394,10010593.933784237,4740.358814451082,3098273.7349353484,62848.76634782333,62848.76634782333,30982.73734935348
