noteId,tweetId,note_count
1681713296271892480,1672908357081124864,19629
1727782563186618856,1727461993978667335,12294
1649126162742771733,1649118738120048654,10161
1742503434299838827,1742455903264129474,8813
1819180232974254554,1819083423077880215,8700
1641632910263431169,1641594971462541315,8580
1830918538355163185,1830610182612881485,8436
1661796202554294297,1661493777247219720,8344
1730887409146175557,1730650140229201949,8225
1722691853378572324,1722550698783437278,7654
1704115800645271713,1703865457285939214,7430
1590463688397430784,1528684321254608896,7348
1676585113767886852,1676508717913628672,7302
1677703456344408064,1677613752932503552,7227
1847444984166842806,1847261358221353316,7000
1728553688354918804,1728535065242612184,6959
1728577427402879039,1728535065242612184,6920
1847727214714032512,1847715919117906368,6761
1870209703705489745,1870186633749754100,6690
1669888265485271046,1669705153316880385,6664
1647446537537040388,1647352302171308036,6564
1711816809043636366,1711793142742073573,6426
1681137213168578560,1680808901187620865,6334
1738384767408640337,1738299969113600298,5732
1853298766222111218,1852946465850622228,5629
1854375903377113427,1854247807735214298,5624
1728787891852091815,1728644198465712517,5584
1614426356342833154,1614350513331470338,5578
1682527263223599104,1607579099031302147,5451
1652817551989305344,1652812349605306368,5430
1816621922341503377,1816601862654586964,5378
1653431562489286657,1653395865862561793,5343
1689600851164197223,1632061089495101440,5254
1824525153977413667,1824485404248035840,5251
1603581631385817089,1603576251125362688,5162
1714359125084078392,1714346975326330957,5053
1653027648539377664,1651685293731246098,5011
1816095607351603653,1816078350659494130,4999
1692581461545615480,1692558414105186796,4969
1858516322100920769,1858186528725373080,4941
1752799832828170343,1752325184156205565,4864
1823857110268174832,1823639305807429838,4860
1618423074046578689,1618056920199200768,4846
1792726649164984744,1792423758256361895,4805
1730273287358263482,1730247565537390998,4733
1718306002116718640,1718192456838107162,4674
1726685525145244098,1726609880986083685,4608
1828564859581305029,1828558004301508855,4585
1692604781485805997,1692558414105186796,4581
1722596905140494691,1722561334858961025,4577
1669932202489004032,1669843546919124992,4569
1846695814351225148,1846605254864888180,4550
1731102402596446465,1730553246001902032,4529
1676767366125096961,1676130410399670272,4525
1606132077124001792,1606013465126002690,4470
1677516365102546944,1677475709202190344,4428
1523223777290641408,1522948044043468800,4370
1712887300831559999,1712871805344506097,4344
1705363239977222302,1705322338189705308,4324
1722306184550535276,1721946745121206640,4296
1797812162544734648,1797588425610351103,4293
1880278749335416868,1880271367569895830,4290
1683929448486150144,1683926658691264524,4278
1861364541134713063,1860699904395645105,4273
1873495751982272987,1873337306633187697,4273
1851233472184033475,1850840486728094141,4240
1664093459395891200,1663147277135822849,4237
1453126874763309056,1452987647182446604,4197
1728563772543910115,1728535065242612184,4191
1713095333117354106,1712750062126662133,4161
1693344239999136030,1693171343548981378,4159
1671634913936936961,1671612705378127873,4142
1723405692806058229,1723383211705725389,4137
1816096720750514495,1816078350659494130,4054
1681021944286842880,1604143546411651074,4023
1642150684890914817,1642144423956889600,3994
1825489843041828949,1825306136012026250,3989
1677364745974816774,1676125706097692672,3984
1603033456249823232,1589414958508691456,3983
